experiment_name,run_id,run_name,status,start_time,param.model_type,param.dataset_version,param.strategy,param.random_seed,param.target_column,param.test_size,metric.recall,metric.accuracy,metric.brier_score,metric.precision,metric.f1_score,metric.roc_auc,metric.pr_auc,param.lr,param.max_epochs,param.num_features,param.optimizer,param.dropout_rate,param.weight_decay,param.batch_size,param.input_dim,param.scaling,param.hidden_dims,param.early_stopping_patience,param.cv_folds,param.use_batch_norm,param.preprocessing,param.scaling_fit_on,metric.test_pct_medium,metric.cv_recall_mean,metric.test_expected_calibration_error,metric.test_pr_auc,metric.optimal_threshold_cost,metric.val_loss,metric.test_accuracy,metric.test_churn_rate_high,metric.test_cost_fn,metric.val_f1,metric.cv_precision_std,metric.test_f1_score,metric.cv_f1_score_mean,metric.test_pct_high,metric.test_precision,metric.cv_roc_auc_std,metric.test_recall_at_250,metric.optimal_threshold_total_cost,metric.test_precision_at_100,metric.cv_brier_score_std,metric.test_precision_at_281,metric.test_recall_at_100,metric.test_recall_at_281,metric.cv_accuracy_std,metric.test_cost_fp,metric.test_capture_high,metric.cv_accuracy_mean,metric.test_capture_medium_high,metric.test_pct_low,metric.test_recall,metric.test_precision_at_140,metric.test_churn_rate_low,metric.cv_roc_auc_mean,metric.cv_brier_score_mean,metric.cv_pr_auc_std,metric.val_auc,metric.train_loss,metric.cv_pr_auc_mean,metric.cv_f1_score_std,metric.test_roc_auc,metric.test_precision_at_250,metric.test_total_cost,metric.cv_precision_mean,metric.cv_recall_std,metric.test_churn_rate_medium,metric.test_brier_score,metric.test_precision_at_500,metric.test_recall_at_70,metric.test_recall_at_500,metric.test_precision_at_70,metric.test_recall_at_140,metric.best_pr_auc,param.best_optimizer,param.best_hidden_dims,param.best_use_batch_norm,param.best_weight_decay,param.best_batch_size,param.best_lr,param.best_early_stopping_patience,param.best_scheduler_patience,param.n_trials,param.best_max_epochs,param.tuning_framework,param.best_dropout_rate,param.best_pos_weight,param.original_features,param.encoding,param.imbalance_handling,param.encoded_features,param.imputation,param.max_iter,metric.cv_f1_mean,metric.cv_f1_std
tech-challenge-dummy-baseline,2998ed9d595245feb2baf00b8dba79b1,dummy_most_frequent,FINISHED,2026-05-02 20:15:49,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,4bdc115f32a84c5f956d947e6f1977f5,dummy_uniform,FINISHED,2026-05-02 20:11:11,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,1123847d5fbe4352a0c45f3eee0f292e,dummy_stratified,FINISHED,2026-05-02 20:11:11,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,dc4f719ba65c42248d2091abd2c21f97,dummy_most_frequent,FINISHED,2026-05-02 20:11:09,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,7774b1ed1b9f4c35bbbafe370b2da9fa,dummy_uniform,FINISHED,2026-05-02 17:22:30,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,8409205233164c58ae994de57897ebed,dummy_stratified,FINISHED,2026-05-02 17:22:30,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,ebdb567267894133bff28adfe43705aa,dummy_most_frequent,FINISHED,2026-05-02 17:22:28,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,63e8f0f2acaa4b52a24cc0362a0d4fbc,dummy_uniform,FINISHED,2026-05-02 14:13:52,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,c9800ed8a574471b80108885da5f57e1,dummy_stratified,FINISHED,2026-05-02 14:13:52,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,73ae611bdf954755aebac6f497e52052,dummy_most_frequent,FINISHED,2026-05-02 14:13:51,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,aa28e60e09e9417a9ef96e49c0534603,dummy_uniform,FINISHED,2026-05-01 18:33:58,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,e77e6e36da6b4cda9a8adf1899d5a224,dummy_stratified,FINISHED,2026-05-01 18:33:58,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,2ba6858149f842b5a34b733ff052d4d7,dummy_most_frequent,FINISHED,2026-05-01 18:33:57,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,b62efaaaa70440ac83dca80b8c377d3b,dummy_uniform,FINISHED,2026-04-30 03:20:53,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,f336387af99140538943d623cb4ba045,dummy_stratified,FINISHED,2026-04-30 03:20:53,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,stratified,42,Churn,0.2,0.27807486631016043,0.6147832267235253,0.38521677327647474,0.2765957446808511,0.2773333333333333,0.507382060454209,0.2688119793083087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,bba407d9462a4cab8a3b4d8e20d542ca,dummy_most_frequent,FINISHED,2026-04-30 03:20:53,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,most_frequent,42,Churn,0.2,0.0,0.7341862117981521,0.2658137882018479,0.0,0.0,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech-challenge-dummy-baseline,a4efd50d9fc9439c9abca551560d7586,dummy_uniform,FINISHED,2026-04-30 03:17:06,DummyClassifier,3b0bfab28a8101b4e4fdd08025a5c235,uniform,42,Churn,0.2,0.5427807486631016,0.5216773276474769,0.25,0.28794326241134754,0.376274328081557,0.5,0.2658137882018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
